
BoxSetEpisodeTitle                                                    BoxSetEpisodeMediaUrl
Monday 10th September Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180910203405.m4a?awCollectionId=superscoreboard&awEpisodeId=11240?awCollectionId=13&awEpisodeId=222491
Friday 7th September Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20180907190534.m4a?awCollectionId=superscoreboard&awEpisodeId=11221?awCollectionId=13&awEpisodeId=222492
Thursday 6th September Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20180906190623.m4a?awCollectionId=superscoreboard&awEpisodeId=11177?awCollectionId=13&awEpisodeId=222493
Wednesday 5th September Clyde 1 Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20180905195054.m4a?awCollectionId=superscoreboard&awEpisodeId=11162?awCollectionId=13&awEpisodeId=222494
Tuesday 4th September Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180904194145.m4a?awCollectionId=superscoreboard&awEpisodeId=11141?awCollectionId=13&awEpisodeId=222495
Monday 3rd September Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20180903202711.m4a?awCollectionId=superscoreboard&awEpisodeId=11123?awCollectionId=13&awEpisodeId=222496
Sunday 2nd September Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20180902155637.m4a?awCollectionId=superscoreboard&awEpisodeId=11094?awCollectionId=13&awEpisodeId=222497
Saturday 1st September Clyde 1 Superscoreboard Openline               https://aod.planetradio.co.uk/superscoreboard/20180901170520.m4a?awCollectionId=superscoreboard&awEpisodeId=11092?awCollectionId=13&awEpisodeId=222498
Saturday 1st September Clyde 1 Superscoreboard Build-Up               https://aod.planetradio.co.uk/superscoreboard/20180901165637.m4a?awCollectionId=superscoreboard&awEpisodeId=11091?awCollectionId=13&awEpisodeId=222499
Friday 31st August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180831205038.m4a?awCollectionId=superscoreboard&awEpisodeId=11089?awCollectionId=13&awEpisodeId=222500
Thursday 30th August Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20180830204642.m4a?awCollectionId=superscoreboard&awEpisodeId=10883?awCollectionId=13&awEpisodeId=222501
Wednesday 29th August Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180829191256.m4a?awCollectionId=superscoreboard&awEpisodeId=10599?awCollectionId=13&awEpisodeId=222502
Tuesday 28th August Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20180828192307.m4a?awCollectionId=superscoreboard&awEpisodeId=10557?awCollectionId=13&awEpisodeId=222503
Monday 27th August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180827191541.m4a?awCollectionId=superscoreboard&awEpisodeId=10528?awCollectionId=13&awEpisodeId=222504
Saturday 25th August Clyde 1 Superscoreboard Openline                 https://aod.planetradio.co.uk/superscoreboard/20180825183113.m4a?awCollectionId=superscoreboard&awEpisodeId=10507?awCollectionId=13&awEpisodeId=222505
Saturday 25th August Clyde 1 Superscoreboard Build-Up                 https://aod.planetradio.co.uk/superscoreboard/20180825182945.m4a?awCollectionId=superscoreboard&awEpisodeId=10506?awCollectionId=13&awEpisodeId=222506
Friday 24th August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180824191142.m4a?awCollectionId=superscoreboard&awEpisodeId=10505?awCollectionId=13&awEpisodeId=222507
Thursday 23rd August Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20180823190833.m4a?awCollectionId=superscoreboard&awEpisodeId=10464?awCollectionId=13&awEpisodeId=222508
Wednesday 22nd August Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180822190729.m4a?awCollectionId=superscoreboard&awEpisodeId=10443?awCollectionId=13&awEpisodeId=222509
Tuesday 21st August Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20180821190922.m4a?awCollectionId=superscoreboard&awEpisodeId=10423?awCollectionId=13&awEpisodeId=222510
